"LocalityName3","Treatment","Subplot","Moss_depth","CCI","UCI","Soil_temp","avenellaBM","shrubBM","total_SR","moss_SR","vasc_SR","simpsons_moss","simpsons_vasc","shannon_vasc","shannon_moss"
"verdal_2VB","Exclosed",3,7,70.1625,-0.781980123618566,9.11302048022599,5.348675,19.888225,19,7,12,0.841489689135118,0.754578655811152,1.53954378716914,1.88481385190568
"verdal_2VB","Exclosed",4,5.33333333333333,83.4975,-0.656537460912127,9.61864618644068,4.6030125,10.5869625,19,8,11,0.844990548204159,0.724710512825658,1.51013860002105,1.96706204304017
"verdal_2VB","Exclosed",5,6.86666666666667,89.67,-1.11612333179458,9.98407203389831,9.82265,5.93633125,19,5,14,0.74125,0.810817630735107,1.82309970671286,1.45817775996542
"verdal_2VB","Exclosed",6,8,54.4275,0.686220033819162,10.1288262711864,1.24753125,0,24,9,15,0.854533303631098,0.836916987624153,2.03403804007357,2.00468280494134
"verdal_2VB","Exclosed",7,5.8125,52.3125,-1.48066081076729,9.67683757062147,0,0,16,8,8,0.785467128027682,0.64062201466333,1.05672494621671,1.72152503097268
"verdal_2VB","Exclosed",8,5.5625,25.14,-1.24140657857468,9.86588629943503,2.73885625,0,21,7,14,0.7825,0.465805837367345,0.940569164221097,1.67105154413997
"verdal_2VB","Exclosed",9,3.8125,79.91,-1.64746548453208,10.4921991525424,1.6203625,0,19,8,11,0.791195716835217,0.663776030163199,1.32765322860652,1.72809534216165
"verdal_2VB","Exclosed",10,8.3125,12.8825,-0.277112845953803,10.5259103107345,5.348675,0,14,7,7,0.780381944444444,0.374014420044416,0.764747464823801,1.65486325914833
"Bratsberg","Open plots",1,0,0,1.25573447689953,12.5053622881356,49.71559375,44.42708125,10,0,10,0,0.689294909195329,1.34317055083534,0
"Bratsberg","Open plots",4,6.27272727272727,0.13,1.2539278977867,12.4814223163842,11.68680625,179.2953875,16,7,9,0.768595041322314,0.472972799425549,0.973204697059685,1.62503349314644
"Bratsberg","Open plots",5,4.42857142857143,2.86,-0.469142646349028,11.9835148305085,10.5683125,86.2827625,9,2,7,0.444444444444444,0.600614067768882,1.02812334710289,0.636514168294813
"Bratsberg","Open plots",6,5.875,0.775,1.1726384084233,11.0668884180791,4.23018125,202.54854375,16,8,8,0.840277777777778,0.518517473889489,0.956328096383202,1.91725770419606
"Bratsberg","Open plots",7,3.5,60.1675,-0.185506165754138,10.456915960452,12.43246875,100.23465625,11,5,6,0.615933412604043,0.550338111646308,0.916116912427519,1.17667624227257
"Bratsberg","Open plots",8,9.5,0.3525,0.116595999552416,12.7754216101695,18.39776875,81.63213125,14,4,10,0.638888888888889,0.669600667126529,1.33880796955399,1.14370838942625
"Bratsberg","Open plots",9,4.8,0,-0.283647815809529,11.8961645480226,9.44981875,90.93339375,14,6,8,0.718934911242604,0.527553843413194,1.04699742424333,1.51498925690646
"Bratsberg","Open plots",10,5.6875,20.0675,-0.635899372818819,11.2645190677966,6.84,81.63213125,14,6,8,0.778393351800554,0.568680937345017,1.13468398514598,1.63376474464832
"Bratsberg","Exclosed",1,6.2,66.085,-2.01541291489792,12.1688700564972,1.6203625,21.173925,13,5,8,0.640625,0.480253080668155,0.807558325272367,1.22991860376421
"Bratsberg","Exclosed",2,0,76.0825,-0.257481408861421,11.1519766949153,13.92379375,86.2827625,10,0,10,0,0.482078136319257,0.90374825924666,0
"Bratsberg","Exclosed",3,0,69.3175,0.869125246260013,10.9299526836158,11.68680625,164.05779375,6,0,6,0,0.182678919999424,0.386722032987142,0
"Bratsberg","Exclosed",4,6.57142857142857,74,-0.103067414997846,11.6929512711864,9.44981875,104.8852875,11,1,10,0,0.43646015522635,0.899194904944274,0
"Bratsberg","Exclosed",5,3.2,46.16375,-1.08153084063699,11.0444343220339,15.78795,21.173925,16,6,10,0.760330578512397,0.735919560343923,1.43580565215711,1.59416669911802
"Bratsberg","Exclosed",6,2.75,66.8025,0.577766050059442,11.463543079096,9.0769875,151.3916,11,2,9,0.5,0.587206015549568,1.05153404979296,0.693147180559945
"Bratsberg","Exclosed",7,6.25,21.3325,0.89527583394939,11.1627330508475,4.97584375,197.46220625,18,9,9,0.838709677419355,0.488565098410944,0.867167035808411,1.96568912962874
"Bratsberg","Exclosed",8,1.83333333333333,50.925,0.706253401547958,10.2507733050847,9.82265,142.0903375,15,5,10,0.716049382716049,0.568814474473392,1.07213695888166,1.42706104338072
"Bratsberg","Exclosed",9,6.54545454545455,71.945,-0.571794043251442,10.8601094632768,14.66945625,67.6802375,13,5,8,0.740484429065744,0.471070773460872,0.824994411372975,1.45204407319368
"Bratsberg","Exclosed",10,2.16666666666667,36.9825,-0.804321816203406,11.483718220339,15.0422875,44.42708125,14,6,8,0.8,0.704755724645831,1.35880379489557,1.69143433628096
"Selbu_Sl","Open plots",1,6.3125,0.365,-0.509587486585715,12.0623488700565,8.331325,49.0777125,19,5,14,0.778009162848813,0.68062889097285,1.4355324802074,1.55030821851186
"Selbu_Sl","Open plots",2,0.1875,0.03,-0.254198791506632,12.0924766949153,18.39776875,0,13,1,12,0,0.664785272342225,1.16394664940045,0
"Selbu_Sl","Open plots",3,5.26666666666667,41.2525,0.473148092245381,10.8098481638418,7.5856625,104.8852875,15,6,9,0.75716603569497,0.616226973986997,1.20394887152291,1.55856441413622
"Selbu_Sl","Open plots",4,0,0,0.0746671451695174,11.470134180791,1.24753125,0,17,2,15,0.5,0.419484177463732,0.852498291758073,0.693147180559945
"Selbu_Sl","Open plots",5,4.75,66.3,-1.01760968455125,10.8363276836158,10.94114375,0,17,5,12,0.521739130434783,0.823905064590755,1.88764123029248,1.01949671250725
"Selbu_Sl","Open plots",6,6.5625,0,-0.39722296904492,11.5130847457627,19.88909375,35.12581875,16,5,11,0.676406135865595,0.783838496724256,1.66918717457229,1.24564828365465
"Selbu_Sl","Open plots",7,3.25,38.9375,0.0159863096220231,11.1312161016949,18.39776875,5.93633125,20,8,12,0.790357925493061,0.852762444659957,2.03025076940544,1.75672144617915
"Selbu_Sl","Open plots",8,5.8,0.9625,0.112818345743061,11.6724689265537,29.9555375,10.5869625,12,4,8,0.345,0.739855680099053,1.5508061899869,0.708346577706171
"Selbu_Sl","Open plots",9,2,42.3925,-0.220961129705111,10.4288848870056,11.313975,0,16,3,13,0.486111111111111,0.663877625556404,1.23853414683585,0.823959216501082
"Selbu_Sl","Open plots",10,4.86666666666667,66.0275,-0.743592849438835,10.5670296610169,16.16078125,19.888225,17,6,11,0.682098765432099,0.765693214153129,1.59946051901992,1.30348299443407
"Selbu_Sl","Exclosed",1,3.125,17.595,-1.39294845840446,11.6467436440678,5.348675,0,20,7,13,0.7265625,0.834465537292742,1.86584486998703,1.57467944174811
"Selbu_Sl","Exclosed",2,7.3125,0,-0.933751661941353,12.2808290960452,21.75325,5.93633125,17,7,10,0.80952380952381,0.604789232839965,1.20822985099749,1.77263445498843
"Selbu_Sl","Exclosed",3,4.5,0,-0.34517205430351,12.2223382768362,21.38041875,0,16,4,12,0.596938775510204,0.81718271188253,1.89120206067258,1.05750411451222
"Selbu_Sl","Exclosed",4,4,23.1575,-0.388671670436139,11.4818460451977,2.366025,0,17,5,12,0.754340277777778,0.464432441379815,0.95810994297528,1.48107932762513
"Selbu_Sl","Exclosed",5,5.125,1.215,-0.990663563758689,12.3749752824859,7.95849375,0,23,10,13,0.788004997917534,0.822804451687901,1.96137614033519,1.81060675615526
"Selbu_Sl","Exclosed",6,2.1875,0.1975,0.712522661334287,11.6466334745763,0,0,19,9,10,0.839002267573696,0.665400673591676,1.42825187040811,1.94640793999106
"Selbu_Sl","Exclosed",8,2.06666666666667,33.374,-1.43359579559869,11.3143983050847,2.366025,5.93633125,19,4,15,0.485207100591716,0.788728861918441,1.71144402197169,0.937155853065701
"Selbu_Sl","Exclosed",9,5.5625,35.815,-1.25744451075354,11.5103799435028,7.21283125,0,18,2,16,0.207612456747405,0.662048826982305,1.31046873817308,0.362210557135449
